titleM,title,classification,release,runtime,tagline,overview,crew,cast,tags,Status,Original Language,Budget,Revenue,
Simon Sez (1999),Simon Sez (1999),PG-13,01/01/1999 (US),1h 25m,It Ain't Over 'Til...,A tattooed Interpol agent helps an old classmate find the kidnapped daughter of a computer software tycoon.,"{'Director': 'Kevin Elders', 'Story': 'Rudy Cohen', 'Writer': 'Andrew Lowery'}","{'Dennis Rodman': 'Simon', 'Natalia Cigliuti': 'Claire Fence', 'Emma Wiklund': 'the Dancer', 'Dane Cook': 'Nick Miranda', 'John Pinette': 'Micro', 'Marie Dame': 'Pink Fax Lady', 'Ricky Harris': 'Macro', 'Filip Nikolic': 'Michael Gabrielli', 'Jérôme Pradon': 'Ashton'}",[],Released,English,"$10,000,000.00 ","$292,151.00 ",
Black Sunday (La Maschera Del Demonio) (1960),-,NR,08/11/1960 (IT),1h 26m,STARE INTO THESE EYES... discover deep within them the unspeakable terrifying secret of BLACK SUNDAY... it will paralyze you with fright!,A vengeful witch and her fiendish servant return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant. Only the girl's brother and a handsome doctor stand in her way.,"{'Director': 'Mario Bava', 'Screenplay': 'Ennio De Concini'}","{'Barbara Steele': 'Princess Asa Vajda / Katia Vajda', 'John Richardson': 'Dr. Andrej Gorobec / Dr. Andreas Gorobec', 'Andrea Checchi': 'Dr. Choma Kruvajan / Dr. Thomas Kruvajan', 'Ivo Garrani': 'Prince Vajda', 'Arturo Dominici': 'Igor Javutich / Javuto', 'Enrico Olivieri': 'Prince Constantine Vajda', 'Antonio Pierfederici': 'Priest', 'Tino Bianchi': 'Ivan - Manservant', 'Clara Bindi': 'Inn Keeper'}","['witch', 'vampire', 'crypt', 'gothic horror', 'iron mask']",Released,Italian,-,-,
Trippin' (1999),-,R,05/12/1999 (US),1h 34m,He's a legend in his own mind.,"Greg is near the end of his senior year in high school, wanting to go to the prom, eyeing Cinny (the school's beauty with brains) from afar, and regularly trippin', daydreaming about being a big success as a poet, a student, a lover. His mom wants him to apply to colleges, but Greg hasn't a clue. One of his teachers, Mr. Shapic, tries to inspire him, too. He finally figures out he can get close to Cinny if he asks her for help with college applications. But friendship isn't enough, he wants romance and a prom date. So, he tells a few lies and, for awhile, it seems to be working. Then, things fall apart and Greg has to figure out how to put the trippin aside and get real.","{'Director': 'David Raynr', 'Writer': 'Gary Hardwick'}","{'Deon Richmond': 'Gregory Reed', 'Donald Faison': 'June Nelson', 'Guy Torry': 'Fish', 'Maia Campbell': 'Cinny Hawkins', 'Anthony Anderson': 'Z Boy', 'Aloma Wright': 'Louise Reed', 'Natashia Williams': 'Denia', 'Stoney Jackson': 'Kenyatta', 'Countess Vaughn': 'Annetta Jones'}","['high school', 'prom']",Released,English,-,"$9,016,377.00 ",
"Battle of the Sexes, The (1959)",-,-,02/25/1960 (GB),1h 24m,-,"Angela Barrows is a man-eating business woman sent by her American employer to investigate their export opportunities in Edinburgh. En route she meets Robert MacPherson, a businessman who asks for her help to bring his company into the 20th Century. The staff, led by Mr Martin, has other ideas—and a battle between the old and new business methods soon breaks out.","{'Director': 'Charles Crichton', 'Writer': 'Monja Danischewsky'}","{'Peter Sellers': 'Mr. Martin', 'Robert Morley': 'Robert Macpherson', 'Constance Cummings': 'Angela Barrows', 'Jameson Clark': 'Andrew Darling', 'Donald Pleasence': 'Irwin Hoffman', 'Michael Goodliffe': 'Detective', 'Alex Mackenzie': 'Robertson', 'Ernest Thesiger': 'Old Macpherson', 'Moultrie Kelsall': 'Graham'}",['scotland'],Released,English,-,-,
Babyfever (1994),-,R,05/04/1994 (US),1h 49m,For those who hear their clock ticking...,"Gena is an average woman who is torn between her current boyfriend's desire to marry her and start a family, and the unexpected arrival of an old boyfriend wanting to pick up where they left off. To further complicate matters, she might be pregnant herself. In the mist of this unsettled personal life, Gena leaves her two men to attend a baby shower party for a girl friend and talks with the various female attendees all of whom are facing their own ticking biological clocks.","{'Director, Writer': 'Victoria Foyt'}","{'Victoria Foyt': 'Gena', 'Matt Salinger': 'James', 'Frances Fisher': 'Rosie', 'Eric Roberts': 'Anthony', 'Dinah Lenney': 'Roz', 'Elaine Kagan': 'Milly', 'Zack Norman': 'Mark', 'Jackie Moen': 'Diane', 'Eliza Roberts': 'Dr. Hilda Glass'}",[],Released,English,-,-,
Man of the Century (1999),-,R,10/29/1999 (US),1h 20m,He's Yesterday's Answer To Today's World.,"Fantasy-comedy about a young man who lives as if it is 1928 or so, and his encounters with modern-day women and modern-day criminals.","{'Director, Screenplay': 'Adam Abraham', 'Writer': 'Gibson Frazier'}","{'Gibson Frazier': 'Johnny Twennies', 'Cara Buono': 'Virginia Clemens', 'Ian Edwards': 'Clarence', 'Brian Davies': 'Victor Young', 'Susan Egan': 'Samantha Winter', 'Robert Lin': 'Chinese Mob Boss', 'Yul Vazquez': 'Brooding Artist', 'Dwight Ewell': 'Richard Lancaster', 'Brian Kite': 'Messenger'}","['new york city', 'newspaper', 'black and white', 'screwball comedy']",Released,English,-,"$33,031.00 ",
Wings of Courage (1995),Wings of Courage (1996),-,09/18/1996 (FR),50m,-,"In 1920's South America a small group of Americans struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.","{'Director, Screenplay': 'Jean-Jacques Annaud', 'Screenplay': 'Alain Godard'}","{'Craig Sheffer': 'Henri Guillaumet', 'Elizabeth McGovern': 'Noëlle Guillaumet', 'Tom Hulce': 'Antoine de Saint-Exupery', 'Ken Pogue': 'Pierre Deley', 'Ron Sauvé': 'Jean-René Lefèbvre', 'Val Kilmer': 'Jean Mermoz', 'Freddy Andreiuci': 'Young Pilot'}",[],Released,French,-,-,
Brother Minister: The Assassination of Malcolm X (1994),-,-,03/01/1995 (US),1h 55m,-,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the ...","{'Director, Writer': 'Jack Baxter'}",{'Roscoe Lee Browne': 'Narrator (voice)'},[],Released,English,-,-,
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",-,-,08/21/1998 (CA),1h 37m,Get ready for a radical education.,"In the 1960s, a group of friends at an all girls school learn that their school is going to be combined with a nearby all boys school. They concoct a plan to save their school while dealing with everyday problems along the way.","{'Director, Writer': 'Sarah Kernochan'}","{'Kirsten Dunst': 'Verena von Stefan', 'Gaby Hoffmann': 'Odette', 'Monica Keena': 'Tinka Parker', 'Rachael Leigh Cook': ""Abigail 'Abby' Sawyer"", 'Lynn Redgrave': 'Miss McVane', 'Tom Guiry': ""'Frosty' Frost"", 'Vincent Kartheiser': 'Snake - Flat Critter', 'Matthew Lawrence': 'Dennis', 'Heather Matarazzo': ""Theresa 'Tweety' Goldberg""}",['woman director'],Released,English,-,"$913,834.00 ",
"Friend of the Deceased, A (1997)",A Friend of the Deceased (1997),-,05/01/1998 (US),1h 40m,-,"Tolla is an unemployed translator whose wife is leaving him. Despondent and weak, he submits to the suggestion of an acquaintance to have a contract placed on the man that his wife is seeing. Instead, however, he arranges for the hit to be placed on himself. Before the contract is executed, he develops a relationship with a prostitute, and then changes his mind. In order to survive he takes the obvious course of action, which turns out to have possibly been unnecessary, and then he must deal with the guilt.","{'Director': 'Viacheslav Kryshtofovych', 'Writer': 'Andrei Kurkov'}","{'Aleksandr Lazarev Jr.': 'Anatoli', 'Anzhelika Nevolina': 'Katia', 'Elena Korikova': 'Marina', 'Tetyana Kryvytska Stang Lund': 'Lena / Vika (as Tatyana Krivitskaya)', 'Yevhen Pashyn': 'Dima', 'Serhiy Romanyuk': 'Ivan', 'Kostiantyn Kostyshyn': 'Kostya'}","['prostitute', 'hitman', 'translator']",Released,Ukrainian,-,-,
